,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1160,1919-01-01,9,Örnsköldsviks kommun,Västernorrlands län,Nordsverige,huvudredaktion,redaktion,Dagspress,Tidningar i Norr
1161,0,9,Örnsköldsviks kommun,Västernorrlands län,Sveriges Radio P4 Västernorrland,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1162,2015-04-13,9,Örnsköldsviks kommun,Västernorrlands län,SVT Nyheter Västernorrland,lokalredaktion,redaktion,Etermedier,Sveriges Television
1163,0,2015-04-12,Örnsköldsviks kommun,Västernorrlands län,Mittnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
1164,2005,9,Örnsköldsviks kommun,Västernorrlands län,Webben 7,huvudredaktion,redaktion,Gratistidning,
1165,1894,2019-03-31,Örnsköldsviks kommun,Västernorrlands län,Örnsköldsviks Allehanda,huvudredaktion,redaktion,Dagspress,Mittmedia
1166,2019-04-01,2020-04-01,Örnsköldsviks kommun,Västernorrlands län,Örnsköldsviks Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1167,2020-04-02,9,Örnsköldsviks kommun,Västernorrlands län,Örnsköldsviks Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier
1168,0,2017-01-01,Malå kommun,Västerbottens län,Norran,lokalredaktion,redaktion,Dagspress,
1169,2020-01-01,2017-01-01,Malå kommun,Västerbottens län,Norran,lokalredaktion,redaktion,Dagspress,NTM
1170,0,2019-12-31,Norsjö kommun,Västerbottens län,Norran,lokalredaktion,redaktion,Dagspress,
1171,2020-01-01,9,Norsjö kommun,Västerbottens län,Norran,lokalredaktion,redaktion,Dagspress,NTM
1172,0,2018-12-31,Arvidsjaurs kommun,Norrbottens län,Norran,lokalredaktion,redaktion,Dagspress,
1173,2020-01-01,2018-12-31,Arvidsjaurs kommun,Norrbottens län,Norran,lokalredaktion,redaktion,Dagspress,NTM
1174,0,2018-12-31,Arvidsjaurs kommun,Norrbottens län,Piteå-Tidningen,lokalredaktion,redaktion,Dagspress,
1175,2020-01-01,2018-12-31,Arvidsjaurs kommun,Norrbottens län,Piteå-Tidningen,lokalredaktion,redaktion,Dagspress,NTM
1176,2020-01-07,9,Arvidsjaurs kommun,Norrbottens län,SVT Nyheter Norrbotten,lokalredaktion,redaktion,Etermedier,Sveriges Television
1177,2020-01-07,2015-04-12,Arvidsjaurs kommun,Norrbottens län,Nordnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
1178,1861,2013-11-01,Kalix kommun,Norrbottens län,Norrbottens-Kuriren,lokalredaktion,redaktion,Dagspress,NTM
1179,0,9,Kalix kommun,Norrbottens län,Norrländska Socialdemokraten,lokalredaktion,redaktion,Dagspress,NTM
